Date,Denton Branch Rail Trail (S of Morse Street) Pedestrians,Denton Branch Rail Trail (S of Morse Street) Cyclists
2014-07-23 00:00:00,44,109
2014-07-24 00:00:00,53,179
2014-07-25 00:00:00,129,121
2014-07-26 00:00:00,44,141
2014-07-27 00:00:00,29,109
2014-07-28 00:00:00,55,150
2014-07-29 00:00:00,43,145
2014-07-30 00:00:00,61,132
2014-07-31 00:00:00,64,115
2014-08-01 00:00:00,51,142
2014-08-02 00:00:00,63,209
2014-08-03 00:00:00,34,143
2014-08-04 00:00:00,58,131
2014-08-05 00:00:00,64,121
2014-08-06 00:00:00,67,144
2014-08-07 00:00:00,54,138
2014-08-08 00:00:00,37,109
2014-08-09 00:00:00,49,128
2014-08-10 00:00:00,44,135
2014-08-11 00:00:00,47,144
2014-08-12 00:00:00,53,124
2014-08-13 00:00:00,55,173
2014-08-14 00:00:00,42,147
2014-08-15 00:00:00,48,106
2014-08-16 00:00:00,210,124
2014-08-17 00:00:00,36,74
2014-08-18 00:00:00,101,153
2014-08-19 00:00:00,152,209
2014-08-20 00:00:00,99,136
2014-08-21 00:00:00,293,139
2014-08-22 00:00:00,53,108
2014-08-23 00:00:00,77,110
2014-08-24 00:00:00,46,142
2014-08-25 00:00:00,48,122
2014-08-26 00:00:00,55,108
2014-08-27 00:00:00,52,146
2014-08-28 00:00:00,58,144
2014-08-29 00:00:00,85,85
2014-08-30 00:00:00,26,153
2014-08-31 00:00:00,38,142
2014-09-01 00:00:00,54,172
2014-09-02 00:00:00,50,256
2014-09-03 00:00:00,54,127
2014-09-04 00:00:00,48,130
2014-09-05 00:00:00,54,116
2014-09-06 00:00:00,48,126
2014-09-07 00:00:00,34,138
2014-09-08 00:00:00,63,140
2014-09-09 00:00:00,37,125
2014-09-10 00:00:00,33,127
2014-09-11 00:00:00,51,131
2014-09-12 00:00:00,27,65
2014-09-13 00:00:00,35,129
2014-09-14 00:00:00,41,170
2014-09-15 00:00:00,53,132
2014-09-16 00:00:00,60,176
2014-09-17 00:00:00,132,124
2014-09-18 00:00:00,43,123
2014-09-19 00:00:00,195,108
2014-09-20 00:00:00,45,133
2014-09-21 00:00:00,45,83
2014-09-22 00:00:00,73,123
2014-09-23 00:00:00,53,163
2014-09-24 00:00:00,58,139
2014-09-25 00:00:00,59,174
2014-09-26 00:00:00,178,112
2014-09-27 00:00:00,54,133
2014-09-28 00:00:00,40,149
2014-09-29 00:00:00,446,144
2014-09-30 00:00:00,1290,267
2014-10-01 00:00:00,131,124
2014-10-02 00:00:00,93,97
2014-10-03 00:00:00,31,115
2014-10-04 00:00:00,48,119
2014-10-05 00:00:00,55,116
2014-10-06 00:00:00,48,115
2014-10-07 00:00:00,39,135
2014-10-08 00:00:00,46,106
2014-10-09 00:00:00,52,100
2014-10-10 00:00:00,56,86
2014-10-11 00:00:00,33,73
2014-10-12 00:00:00,39,103
2014-10-13 00:00:00,49,72
2014-10-14 00:00:00,42,265
2014-10-15 00:00:00,65,136
2014-10-16 00:00:00,51,101
2014-10-17 00:00:00,74,132
2014-10-18 00:00:00,88,160
2014-10-19 00:00:00,69,145
2014-10-20 00:00:00,69,129
2014-10-21 00:00:00,66,149
2014-10-22 00:00:00,69,129
2014-10-23 00:00:00,35,105
2014-10-24 00:00:00,27,133
2014-10-25 00:00:00,56,181
2014-10-26 00:00:00,26,96
2014-10-27 00:00:00,42,99
2014-10-28 00:00:00,45,100
2014-10-29 00:00:00,54,133
2014-10-30 00:00:00,45,113
2014-10-31 00:00:00,38,99
2014-11-01 00:00:00,43,71
2014-11-02 00:00:00,28,83
2014-11-03 00:00:00,28,93
2014-11-04 00:00:00,8,30
2014-11-05 00:00:00,45,54
2014-11-06 00:00:00,42,108
2014-11-07 00:00:00,26,99
2014-11-08 00:00:00,57,94
2014-11-09 00:00:00,42,96
2014-11-10 00:00:00,45,92
2014-11-11 00:00:00,16,60
2014-11-12 00:00:00,21,36
2014-11-13 00:00:00,78,57
2014-11-14 00:00:00,20,36
2014-11-15 00:00:00,33,52
2014-11-16 00:00:00,13,23
2014-11-17 00:00:00,26,46
2014-11-18 00:00:00,43,67
2014-11-19 00:00:00,40,74
2014-11-20 00:00:00,41,98
2014-11-21 00:00:00,31,70
2014-11-22 00:00:00,19,26
2014-11-23 00:00:00,41,160
2014-11-24 00:00:00,33,70
2014-11-25 00:00:00,41,69
2014-11-26 00:00:00,21,76
2014-11-27 00:00:00,18,41
2014-11-28 00:00:00,23,89
2014-11-29 00:00:00,34,95
2014-11-30 00:00:00,48,94
2014-12-01 00:00:00,16,53
2014-12-02 00:00:00,18,58
2014-12-03 00:00:00,36,71
2014-12-04 00:00:00,27,66
2014-12-05 00:00:00,24,81
2014-12-06 00:00:00,34,105
2014-12-07 00:00:00,26,58
2014-12-08 00:00:00,23,58
2014-12-09 00:00:00,19,58
2014-12-10 00:00:00,28,73
2014-12-11 00:00:00,34,74
2014-12-12 00:00:00,37,90
2014-12-13 00:00:00,32,109
2014-12-14 00:00:00,13,57
2014-12-15 00:00:00,34,67
2014-12-16 00:00:00,51,56
2014-12-17 00:00:00,14,41
2014-12-18 00:00:00,22,62
2014-12-19 00:00:00,36,40
2014-12-20 00:00:00,41,55
2014-12-21 00:00:00,13,84
2014-12-22 00:00:00,24,82
2014-12-23 00:00:00,38,38
2014-12-24 00:00:00,23,55
2014-12-25 00:00:00,22,13
2014-12-26 00:00:00,37,52
2014-12-27 00:00:00,17,32
2014-12-28 00:00:00,23,44
2014-12-29 00:00:00,29,67
2014-12-30 00:00:00,23,57
2014-12-31 00:00:00,17,35
2015-01-01 00:00:00,10,10
2015-01-02 00:00:00,28,28
2015-01-03 00:00:00,42,70
2015-01-04 00:00:00,13,28
2015-01-05 00:00:00,49,38
2015-01-06 00:00:00,32,59
2015-01-07 00:00:00,10,28
2015-01-08 00:00:00,20,36
2015-01-09 00:00:00,21,38
2015-01-10 00:00:00,51,50
2015-01-11 00:00:00,12,43
2015-01-12 00:00:00,23,49
2015-01-13 00:00:00,33,53
2015-01-14 00:00:00,22,43
2015-01-15 00:00:00,60,83
2015-01-16 00:00:00,22,71
2015-01-17 00:00:00,46,106
2015-01-18 00:00:00,26,108
2015-01-19 00:00:00,59,171
2015-01-20 00:00:00,41,105
2015-01-21 00:00:00,25,75
2015-01-22 00:00:00,13,23
2015-01-23 00:00:00,39,45
2015-01-24 00:00:00,72,107
2015-01-25 00:00:00,37,112
2015-01-26 00:00:00,42,89
2015-01-27 00:00:00,38,205
2015-01-28 00:00:00,29,114
2015-01-29 00:00:00,41,91
2015-01-30 00:00:00,49,66
2015-01-31 00:00:00,23,54
2015-02-01 00:00:00,27,43
2015-02-02 00:00:00,23,49
2015-02-03 00:00:00,40,66
2015-02-04 00:00:00,21,64
2015-02-05 00:00:00,20,47
2015-02-06 00:00:00,34,55
2015-02-07 00:00:00,43,108
2015-02-08 00:00:00,104,162
2015-02-09 00:00:00,43,110
2015-02-10 00:00:00,42,158
2015-02-11 00:00:00,53,87
2015-02-12 00:00:00,31,63
2015-02-13 00:00:00,23,74
2015-02-14 00:00:00,56,149
2015-02-15 00:00:00,34,102
2015-02-16 00:00:00,9,21
2015-02-17 00:00:00,26,60
2015-02-18 00:00:00,28,73
2015-02-19 00:00:00,39,75
2015-02-20 00:00:00,36,76
2015-02-21 00:00:00,71,168
2015-02-22 00:00:00,8,14
2015-02-23 00:00:00,27,7
2015-02-24 00:00:00,20,13
2015-02-25 00:00:00,21,29
2015-02-26 00:00:00,14,30
2015-02-27 00:00:00,13,17
2015-02-28 00:00:00,16,3
2015-03-01 00:00:00,40,11
2015-03-02 00:00:00,23,24
2015-03-03 00:00:00,31,68
2015-03-04 00:00:00,13,17
2015-03-05 00:00:00,21,29
2015-03-06 00:00:00,52,50
2015-03-07 00:00:00,34,130
2015-03-08 00:00:00,29,54
2015-03-09 00:00:00,24,30
2015-03-10 00:00:00,37,62
2015-03-11 00:00:00,44,98
2015-03-12 00:00:00,46,133
2015-03-13 00:00:00,36,52
2015-03-14 00:00:00,52,94
2015-03-15 00:00:00,50,131
2015-03-16 00:00:00,86,152
2015-03-17 00:00:00,71,96
2015-03-18 00:00:00,38,69
2015-03-19 00:00:00,30,80
2015-03-20 00:00:00,24,40
2015-03-21 00:00:00,50,61
2015-03-22 00:00:00,49,86
2015-03-23 00:00:00,68,140
2015-03-24 00:00:00,71,210
2015-03-25 00:00:00,37,104
2015-03-26 00:00:00,40,98
2015-03-27 00:00:00,41,81
2015-03-28 00:00:00,57,205
2015-03-29 00:00:00,68,160
2015-03-30 00:00:00,68,162
2015-03-31 00:00:00,86,108
2015-04-01 00:00:00,26,75
2015-04-02 00:00:00,37,115
2015-04-03 00:00:00,38,116
2015-04-04 00:00:00,63,136
2015-04-05 00:00:00,30,62
2015-04-06 00:00:00,36,132
