Date,,Denton Branch Rail Trail (MedPark Station) Pedestrians,Denton Branch Rail Trail (MedPark Station) Cyclists
23/07/2014,0:00,49,92
24/07/2014,0:00,24,120
25/07/2014,0:00,31,69
26/07/2014,0:00,34,108
27/07/2014,0:00,32,105
28/07/2014,0:00,50,94
29/07/2014,0:00,38,100
30/07/2014,0:00,48,82
31/07/2014,0:00,49,67
1/8/2014,0:00,53,95
2/8/2014,0:00,55,164
3/8/2014,0:00,20,132
4/8/2014,0:00,72,94
5/8/2014,0:00,52,90
6/8/2014,0:00,49,88
7/8/2014,0:00,53,88
8/8/2014,0:00,53,43
9/8/2014,0:00,36,119
10/8/2014,0:00,25,116
11/8/2014,0:00,54,94
12/8/2014,0:00,49,89
13/08/2014,0:00,27,86
14/08/2014,0:00,42,132
15/08/2014,0:00,49,89
16/08/2014,0:00,49,91
17/08/2014,0:00,36,61
18/08/2014,0:00,63,100
19/08/2014,0:00,58,106
20/08/2014,0:00,55,59
21/08/2014,0:00,35,77
22/08/2014,0:00,56,58
23/08/2014,0:00,66,109
24/08/2014,0:00,46,77
25/08/2014,0:00,55,79
26/08/2014,0:00,56,76
27/08/2014,0:00,53,82
28/08/2014,0:00,40,97
29/08/2014,0:00,53,47
30/08/2014,0:00,39,142
31/08/2014,0:00,29,99
1/9/2014,0:00,43,149
2/9/2014,0:00,49,71
3/9/2014,0:00,62,88
4/9/2014,0:00,48,104
5/9/2014,0:00,47,51
6/9/2014,0:00,78,82
7/9/2014,0:00,48,89
8/9/2014,0:00,131,73
9/9/2014,0:00,61,88
10/9/2014,0:00,72,90
11/9/2014,0:00,64,103
12/9/2014,0:00,42,36
13/09/2014,0:00,62,105
14/09/2014,0:00,46,137
15/09/2014,0:00,60,71
16/09/2014,0:00,72,125
17/09/2014,0:00,64,82
18/09/2014,0:00,74,69
19/09/2014,0:00,38,56
20/09/2014,0:00,73,81
21/09/2014,0:00,47,84
22/09/2014,0:00,52,58
23/09/2014,0:00,81,78
24/09/2014,0:00,82,72
25/09/2014,0:00,62,103
26/09/2014,0:00,65,46
27/09/2014,0:00,82,89
28/09/2014,0:00,50,93
29/09/2014,0:00,38,92
30/09/2014,0:00,47,80
1/10/2014,0:00,51,84
2/10/2014,0:00,48,53
3/10/2014,0:00,54,82
4/10/2014,0:00,86,72
5/10/2014,0:00,43,95
6/10/2014,0:00,49,79
7/10/2014,0:00,50,87
8/10/2014,0:00,42,64
9/10/2014,0:00,40,64
10/10/2014,0:00,43,45
11/10/2014,0:00,50,38
12/10/2014,0:00,60,90
13/10/2014,0:00,40,34
14/10/2014,0:00,42,58
15/10/2014,0:00,46,84
16/10/2014,0:00,71,54
17/10/2014,0:00,66,58
18/10/2014,0:00,94,97
19/10/2014,0:00,34,72
20/10/2014,0:00,68,75
21/10/2014,0:00,62,95
22/10/2014,0:00,38,78
23/10/2014,0:00,60,68
24/10/2014,0:00,59,54
25/10/2014,0:00,64,65
26/10/2014,0:00,43,66
27/10/2014,0:00,63,61
28/10/2014,0:00,50,82
29/10/2014,0:00,74,96
30/10/2014,0:00,81,65
31/10/2014,0:00,50,44
1/11/2014,0:00,76,38
2/11/2014,0:00,33,53
3/11/2014,0:00,54,62
4/11/2014,0:00,10,12
5/11/2014,0:00,40,15
6/11/2014,0:00,42,42
7/11/2014,0:00,43,50
8/11/2014,0:00,66,48
9/11/2014,0:00,41,58
10/11/2014,0:00,45,49
11/11/2014,0:00,22,20
12/11/2014,0:00,21,11
13/11/2014,0:00,20,22
14/11/2014,0:00,15,18
15/11/2014,0:00,59,17
16/11/2014,0:00,10,7
17/11/2014,0:00,24,10
18/11/2014,0:00,20,21
19/11/2014,0:00,41,28
20/11/2014,0:00,44,35
21/11/2014,0:00,44,23
22/11/2014,0:00,24,10
23/11/2014,0:00,61,117
24/11/2014,0:00,52,42
25/11/2014,0:00,41,51
26/11/2014,0:00,41,39
27/11/2014,0:00,28,32
28/11/2014,0:00,43,72
29/11/2014,0:00,64,45
30/11/2014,0:00,39,72
1/12/2014,0:00,16,17
2/12/2014,0:00,14,12
3/12/2014,0:00,27,26
4/12/2014,0:00,33,13
5/12/2014,0:00,57,25
6/12/2014,0:00,57,69
7/12/2014,0:00,38,27
8/12/2014,0:00,31,44
9/12/2014,0:00,30,25
10/12/2014,0:00,33,31
11/12/2014,0:00,33,30
12/12/2014,0:00,48,29
13/12/2014,0:00,40,52
14/12/2014,0:00,26,27
15/12/2014,0:00,50,36
16/12/2014,0:00,33,20
17/12/2014,0:00,20,12
18/12/2014,0:00,46,17
19/12/2014,0:00,27,12
20/12/2014,0:00,54,30
